X,HEIGHT_C,HEIGHT_R,llv2000,llv2009,llv1990
4.18,,47.0,5.9796,4.2873063,4.3820267
4.19,,34.0,6.1811585,4.336615,4.624973
4.25,,16.0,5.345563,4.9295363,3.6888795
4.37,,34.0,5.5358233,5.0594435,3.871201
4.43,,42.0,5.4933844,4.1876698,3.7841897
4.59,,44.0,5.574787,4.193471,3.871201
4.67,,25.0,5.549825,5.018211,3.871201
4.97,,29.0,5.5855923,4.1767597,3.871201
5.11,,17.0,5.5052233,4.145524,3.7841897
5.24,,30.0,5.64494,4.9813232,4.0253515
5.35,,39.0,5.64494,4.9813232,4.0253515
5.49,,16.0,5.6451283,4.19689,3.9512436
5.66,,23.0,5.6107216,4.260687,3.871201
5.7,,19.0,5.6107216,4.260687,3.871201
5.76,,26.0,5.6107216,4.260687,3.871201
6.14,,16.0,5.7308145,4.319651,4.0253515
6.18,,29.0,5.735119,4.300575,4.0253515
6.32,,30.0,5.6933413,4.224788,4.0253515
6.33,,30.0,5.6933413,4.905189,4.0253515
6.4,,30.0,5.6933413,4.224788,4.0253515
6.41,,19.0,5.4892216,4.9326687,3.871201
6.64,,15.0,5.5351295,5.0492053,3.871201
6.75,,35.0,5.750281,4.3012457,4.0253515
6.77,,15.0,5.494353,4.8975835,3.871201
6.87,,39.0,5.613329,5.041485,3.9512436
6.95,,19.0,5.4834647,4.9256706,3.871201
7.07,,44.0,5.6082473,5.043946,3.9512436
7.08,,20.0,5.471439,4.954054,3.871201
7.13,,25.0,5.5947614,5.0738153,3.9512436
7.16,,44.0,5.6656084,5.091362,4.0253515
7.21,,22.0,5.5186815,5.050932,3.871201
7.34,,21.0,5.516084,5.056482,3.871201
7.47,,17.0,5.188643,4.7957177,3.583519
7.48,,43.0,5.5256286,4.012028,3.871201
7.52,,27.0,5.4491525,4.012028,3.7841897
7.71,,19.0,5.270448,4.7712255,3.6888795
7.8,,23.0,5.1216207,4.824916,3.465736
7.81,,15.0,5.111499,4.8319936,3.465736
7.82,,15.0,5.1049423,4.8512216,3.465736
7.88,,21.0,5.318633,4.918496,3.6888795
7.96,,15.0,5.1085057,4.844604,3.465736
7.98,,19.0,5.1799803,3.9645715,3.465736
8.03,,26.0,5.159344,4.715695,3.583519
8.04,,18.0,5.159344,4.715695,3.583519
8.12,,20.0,5.256978,4.7582583,3.6888795
8.13,,26.0,5.290516,4.843017,3.583519
8.2,,23.0,5.290516,4.8171067,3.583519
8.25,,19.0,5.220079,4.87465,3.583519
8.3,,26.0,5.2976537,3.988062,3.583519
8.36,,38.0,5.415677,3.946348,3.7841897
8.39,,29.0,4.999951,4.7211,3.3322046
8.45,,23.0,5.415677,3.946348,3.7841897
8.55,,24.0,4.9280086,4.5906353,3.3322046
8.57,,30.0,4.942239,4.539654,3.3322046
8.61,,29.0,4.942239,4.539654,3.3322046
8.66,,22.0,5.2238016,4.8519053,3.583519
8.73,,15.0,5.2238016,4.8519053,3.583519
8.74,,20.0,5.2238016,4.8519053,3.583519
8.79,,18.0,5.25172,4.731931,3.6888795
8.81,,16.0,5.25172,4.731931,3.6888795
8.88,,16.0,5.25172,4.731931,3.6888795
9.16,,31.0,4.9888783,4.556497,3.4011974
9.26,,42.0,4.9888783,4.556497,3.4011974
9.33,,25.0,5.3104696,3.8860316,3.6888795
9.38,,20.0,5.093822,4.8128605,3.465736
9.39,,15.0,5.205611,4.866027,3.583519
9.66,,27.0,5.302654,3.902225,3.6888795
9.73,,27.0,5.126264,4.6823335,3.583519
9.8,,28.0,5.126264,4.6823335,3.583519
9.86,,20.0,4.655555,4.524237,2.9957323
9.88,,28.0,5.1192822,4.6782994,3.583519
9.91,,18.0,4.6461215,4.5395255,2.9957323
9.95,,49.0,4.655555,4.524237,2.9957323
9.96,,80.0,,,
10.06,,15.0,,,
10.18,,16.0,4.864212,4.5485835,3.3322046
10.21,,18.0,4.602856,4.583991,2.9957323
10.22,,16.0,4.864212,4.5485835,3.3322046
10.26,,19.0,4.849928,4.5519166,3.3322046
10.39,,17.0,4.839236,4.550827,3.3322046
10.48,,25.0,4.839236,4.550827,3.3322046
10.58,,23.0,5.0360236,4.827603,3.465736
10.62,,23.0,4.603404,4.5500154,2.9957323
10.64,,30.0,4.594455,4.563681,2.9957323
10.66,,56.0,4.682625,4.460151,3.1780539
10.67,,23.0,4.903363,3.7189705,3.3322046
10.87,,19.0,4.500111,3.4326828,2.8903718
11.13,,24.0,4.2809777,4.355477,2.676445
11.14,,25.0,4.457187,4.446796,2.8526316
11.21,,22.0,4.279931,4.203149,2.7725887
11.22,,16.0,4.5663643,3.6547093,2.8903718
11.23,,22.0,4.1638455,4.2659235,2.5494452
11.47,,29.0,4.4220514,3.3690078,2.8332133
11.55,,29.0,4.374185,4.3844643,2.7725887
11.66,,16.0,4.4679127,3.3944073,2.8903718
11.68,,18.0,3.6794028,3.8761413,2.014903
11.69,,27.0,3.719274,3.7891543,2.1747518
12.06,,19.0,3.707306,3.9309194,2.0794415
12.19,,26.0,3.5933444,3.87727,1.974081
12.28,,26.0,4.051223,4.212387,2.4849067
12.46,,24.0,3.7979221,3.8511784,2.3158302
12.48,,16.0,3.842223,4.058775,2.261763
12.74,,23.0,3.4469864,3.7894695,1.856298
13.82,,27.0,4.0877824,3.3924398,2.4849067
14.04,,28.0,3.7746823,4.008765,2.261763
14.31,,25.0,4.115956,4.033933,2.7725887
14.5,,54.0,4.4825296,4.297833,3.1780539
14.63,,38.0,4.474726,4.2884293,3.1780539
14.72,,17.0,,,
14.74,,38.0,4.4661393,4.2797165,3.1780539
14.82,,18.0,4.4661393,4.2797165,3.1780539
15.07,,21.0,4.448704,4.2622957,3.1780539
